City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,kogalym,62.2654,74.4791,271.83,83,5,5.47,RU,1696030448
182,lumphat,13.4878,106.9816,296.67,98,92,0.56,KH,1696030449
183,exu,-7.5119,-39.7242,299.93,30,98,1.74,BR,1696030228
184,dryden,49.7833,-92.7503,288.31,88,20,3.09,CA,1696030449
185,antsiranana,-12.2787,49.2917,295.87,80,23,7.13,MG,1696030319
186,oranjemund,-28.55,16.4333,286.82,90,61,0.8,NA,1696030413
187,tulun,54.5611,100.5792,280.99,89,100,2.13,RU,1696030449
188,pacific grove,36.6177,-121.9166,295.03,84,75,4.12,US,1696030450
189,smithers,54.7804,-127.1743,284.33,62,40,4.12,CA,1696030450
190,bonthe,7.5264,-12.505,298.78,89,71,1.98,SL,1696030450
191,santiago,-33.4569,-70.6483,293.84,51,0,3.6,CL,1696030450
192,terrigal,-33.45,151.45,297.04,71,1,2.6,AU,1696030450
193,alofi,-19.0595,-169.9187,300.09,78,74,5.14,NU,1696030450
194,qaqortoq,60.7167,-46.0333,276.16,69,4,2.18,GL,1696030309
195,shasta lake,40.6804,-122.3708,298.55,54,100,1.34,US,1696030451
196,atafu village,-8.5421,-172.5159,301.92,71,23,4.25,TK,1696030287
197,longyearbyen,78.2186,15.6401,273.06,69,75,3.09,SJ,1696030278
198,port elizabeth,-33.918,25.5701,289.99,74,0,2.06,ZA,1696030283
199,kushiro,42.975,144.3747,288.68,88,75,1.03,JP,1696030451
200,almendralejo,38.6832,-6.4075,298.77,28,33,1.78,ES,1696030451
201,brisas de zicatela,15.8369,-97.0419,304.44,51,20,1.54,MX,1696030451
202,shengli,37.4564,118.4856,293.22,46,0,5.44,CN,1696030452
203,waris aliganj,25.0167,85.6333,299.51,87,99,0.86,IN,1696030452
204,sol'tsy,58.1239,30.3238,287.19,82,100,2.68,RU,1696030452
205,hilo,19.7297,-155.09,303.0,71,0,3.6,US,1696030450
206,georgetown,5.4112,100.3354,300.9,95,20,0.51,MY,1696030214
207,kristiansund,63.1115,7.732,284.51,93,100,1.03,NO,1696030452
208,horta,38.5333,-28.6333,292.6,94,100,1.79,PT,1696030301
209,ambon,-3.6954,128.1814,300.23,83,75,2.06,ID,1696030453
210,ghorawal,24.7667,82.7833,300.23,70,99,1.46,IN,1696030453
211,flin flon,54.7682,-101.865,286.06,94,100,2.06,CA,1696030453
212,tilcara,-23.5776,-65.3509,278.03,78,48,1.74,AR,1696030453
213,usogorsk,63.4106,48.6872,282.24,93,100,2.73,RU,1696030453
214,nar'yan-mar,67.6713,53.087,276.03,76,100,7.41,RU,1696030296
215,banda aceh,5.5577,95.3222,299.16,83,54,2.07,ID,1696030454
216,enewetak,11.3474,162.3373,302.08,76,82,5.77,MH,1696030312
217,santarem,-2.4431,-54.7083,302.22,79,0,2.06,BR,1696030454
218,shenjiamen,29.9576,122.298,298.84,86,16,5.75,CN,1696030454
219,valparaiso,-33.0393,-71.6273,291.28,63,0,3.09,CL,1696030156
220,richards bay,-28.783,32.0377,295.0,82,0,3.54,ZA,1696030054
221,buala,-8.145,159.5921,301.54,79,92,4.19,SB,1696030455
222,rayevskiy,54.0658,54.9468,282.25,96,84,3.28,RU,1696030455
223,bikenibeu village,1.3673,173.1241,304.13,74,40,2.57,KI,1696030016
224,broome,42.2506,-75.833,291.3,92,20,0.89,US,1696030455
225,hadibu,12.65,54.0333,299.52,85,95,2.2,YE,1696030325
226,badger,64.8,-147.5333,279.81,53,75,0.0,US,1696030306
227,nadi,-17.8,177.4167,300.15,54,20,4.12,FJ,1696030328
228,zheleznogorsk-ilimskiy,56.5768,104.1217,279.75,87,100,1.57,RU,1696030456
229,bereket,39.2446,55.5154,290.26,37,0,3.78,TM,1696030456
230,santa elena de uairen,4.6167,-61.1333,297.56,62,89,2.27,VE,1696030456
231,el calafate,-50.3408,-72.2768,279.65,61,100,0.7,AR,1696030456
232,tosontsengel,48.7567,98.2839,271.64,81,91,0.29,MN,1696030456
233,colac,-38.3333,143.5833,293.75,34,69,5.93,AU,1696030457
234,jalai nur,49.45,117.7,282.27,58,12,2.9,CN,1696030338
